STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,EMMETT J CONRAD H S,79
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,IRMA LERMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,GE95
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,JOHN LESLIE PATTON JR ACADEMIC CENTER,30-34
TEXAS,48,4816230,DALLAS ISD,4.81623E+11,WILMER-HUTCHINS H S,90-94
TEXAS,48,4816290,DANBURY ISD,4.81629E+11,DANBURY H S,GE90
TEXAS,48,4816320,DARROUZETT ISD,4.81632E+11,DARROUZETT SCHOOLS,GE50
TEXAS,48,4816350,DAWSON ISD,4.81635E+11,DAWSON SCHOOL,GE50
TEXAS,48,4816380,DAWSON ISD,4.81638E+11,DAWSON H S,GE90
TEXAS,48,4816410,DAYTON ISD,4.81641E+11,DAYTON H S,94
TEXAS,48,4816410,DAYTON ISD,4.81641E+11,AAEP (ACADEMIC ALTERNATIVE EDUCATION PROGRAM),GE90
TEXAS,48,4816440,DE LEON ISD,4.81644E+11,DE LEON H S,GE90
TEXAS,48,4816500,DECATUR ISD,4.8165E+11,DECATUR H S,GE95
TEXAS,48,4816530,DEER PARK ISD,4.81653E+11,DEER PARK HS,89
TEXAS,48,4816570,DEKALB ISD,4.81657E+11,DEKALB H S,GE90
TEXAS,48,4816620,DEL VALLE ISD,4.81662E+11,DEL VALLE H S,95
TEXAS,48,4816620,DEL VALLE ISD,4.81662E+11,DEL VALLE OPPORTUNITY CTR,75-79
TEXAS,48,4816650,DELL CITY ISD,4.81665E+11,DELL CITY SCHOOL,PS
TEXAS,48,4816710,DENISON ISD,4.81671E+11,DENISON H S,88
TEXAS,48,4816710,DENISON ISD,4.81671E+11,PATHWAYS H S,80-89
TEXAS,48,4816740,DENTON ISD,4.81674E+11,DENTON H S,93
TEXAS,48,4816740,DENTON ISD,4.81674E+11,RYAN H S,96
TEXAS,48,4816740,DENTON ISD,4.81674E+11,GUYER H S,98
TEXAS,48,4816740,DENTON ISD,4.81674E+11,FRED MOORE H S,70-79
TEXAS,48,4816770,DENVER CITY ISD,4.81677E+11,DENVER CITY H S,GE95
TEXAS,48,4816860,DESOTO ISD,4.81686E+11,DESOTO H S & ISTEAM3D,91
TEXAS,48,4816890,DETROIT ISD,4.81689E+11,DETROIT H S,GE90
TEXAS,48,4816950,DEVINE ISD,4.81695E+11,DEVINE H S,GE95
TEXAS,48,4817010,DEWEYVILLE ISD,4.81701E+11,DEWEYVILLE H S,GE90
TEXAS,48,4817040,DIBOLL ISD,4.81704E+11,DIBOLL H S,GE95
TEXAS,48,4817040,DIBOLL ISD,4.81704E+11,STUBBLEFIELD LRN CTR,GE50
TEXAS,48,4817070,DICKINSON ISD,4.81707E+11,DICKINSON H S,88
TEXAS,48,4817070,DICKINSON ISD,4.81707E+11,DICKINSON CONTINUATION CENTER,50-59
TEXAS,48,4817100,DILLEY ISD,4.8171E+11,DILLEY H S,90-94
TEXAS,48,4817130,DIME BOX ISD,4.81713E+11,DIME BOX SCHOOL,GE50
TEXAS,48,4817160,DIMMITT ISD,4.81716E+11,DIMMITT H S,GE95
TEXAS,48,4817280,DODD CITY ISD,4.81728E+11,DODD CITY SCHOOL,GE80
TEXAS,48,4817390,DONNA ISD,4.81739E+11,DONNA H S,90
TEXAS,48,4817390,DONNA ISD,4.81739E+11,3D ACADEMY,35-39
TEXAS,48,4817460,DOUGLASS ISD,4.81746E+11,DOUGLASS SCHOOL,GE80
TEXAS,48,4817580,DUBLIN ISD,4.81758E+11,DUBLIN H S,GE95
TEXAS,48,4817610,DUMAS ISD,4.81761E+11,DUMAS H S,96
TEXAS,48,4817610,DUMAS ISD,4.81761E+11,NORTH PLAINS OPPORTUNITY CENTER,GE90
TEXAS,48,4817640,DUNCANVILLE ISD,4.81764E+11,DUNCANVILLE H S,92
TEXAS,48,4817640,DUNCANVILLE ISD,4.81764E+11,MARY E SMITHEY PACE H S,35-39
TEXAS,48,4817640,DUNCANVILLE ISD,4.81764E+11,P A S S LEARNING CTR,PS
TEXAS,48,4817700,EAGLE MT-SAGINAW ISD,4.8177E+11,BOSWELL H S,97
TEXAS,48,4817700,EAGLE MT-SAGINAW ISD,4.8177E+11,ELMER C WATSON H S,75-79
TEXAS,48,4817700,EAGLE MT-SAGINAW ISD,4.8177E+11,SAGINAW H S,95
TEXAS,48,4817730,EAGLE PASS ISD,4.81773E+11,EAGLE PASS HIGH SCHOOL,89
